what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1324489810817
locale,sysinfo,,,"en_IN",1324489810817
processors,sysinfo,,,"4",1324489810817
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324489810817
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1324489810817
java.specification.name,sysinfo,,,"Java Platform API Specification",1324489810817
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324489810817
java.specification.version,sysinfo,,,"1.6",1324489810817
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1324489810817
java.version,sysinfo,,,"1.6.0_26",1324489810817
java.vm.info,sysinfo,,,"mixed mode, sharing",1324489810817
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324489810817
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324489810817
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324489810817
java.vm.specification.version,sysinfo,,,"1.0",1324489810817
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1324489810817
java.vm.version,sysinfo,,,"20.1-b02",1324489810817
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1324489810820
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1324489810843
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1324489810853
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1324489810872
started,bundle,org.maven.ide.eclipse.mylyn3,0.10.0.20100209-0800,"org.maven.ide.eclipse.mylyn3",1324489810873
started,bundle,org.eclipse.wst.wsdl,1.2.2.v200911111930,"org.eclipse.wst.wsdl",1324489810878
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1324489810930
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1324489811357
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1324489811357
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1324489811371
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1324489811409
started,bundle,org.eclipse.bpel.model,0.5.0.v201003031622,"org.eclipse.bpel.model",1324489811476
started,bundle,org.eclipse.bpel.common.model,0.5.0.v201003031622,"org.eclipse.bpel.common.model",1324489811481
started,bundle,org.eclipse.bpel.validator,0.5.0.v201003031622,"org.eclipse.bpel.validator",1324489811493
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1324489811503
started,bundle,org.jboss.tools.seam.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.seam.ui",1324489812114
opened,editor,org.jboss.tools.common.model.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1324489812297
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1324489812307
started,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1324489812308
started,bundle,org.maven.ide.eclipse.editor.xml,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.xml",1324489812423
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1324489812540
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1324489813120
opened,editor,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.MavenPomEditor",1324489813246
