what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.xmpp.ui,2.1.0.v20090916-2238,"org.eclipse.ecf.provider.xmpp.ui",1324669532418
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1324669532434
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669532684
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1324669532715
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669538035
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669538915
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669633562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669636822
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669701619
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1324669703803
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1324669705410
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1324669705722
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1324669706112
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324669708218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669708608
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669711759
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1324669712976
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324669716845
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669717578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669823737
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669825297
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324669999618
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1324670001006
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324670002301
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670013518
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670023314
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670024874
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670026934
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670026934
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670029601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670031099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670150954
activated,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324670155306
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324670176413
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1324670178597
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670188581
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670189049
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670189580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670204400
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670206802
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670210312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670215257
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670319408
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324670321842
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1324670321842
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1324670339033
started,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1324670340172
started,bundle,org.maven.ide.eclipse.refactoring,0.10.0.20100209-0800,"org.maven.ide.eclipse.refactoring",1324670340265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324670341966
