what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.seam.xml,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.seam.xml",1324561498408
started,bundle,org.jboss.tools.smooks.ui,1.1.0.v201003050540R-H56-GA,"org.jboss.tools.smooks.ui",1324561498408
started,bundle,org.jboss.tools.struts,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts",1324561498408
started,bundle,org.jboss.tools.struts.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts.ui",1324561498408
started,bundle,org.jboss.tools.struts.verification,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts.verification",1324561498408
started,bundle,org.jboss.tools.vpe,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe",1324561498518
started,bundle,org.jboss.tools.vpe.xulrunner,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.xulrunner",1324561498518
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1324561498533
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1324561498533
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1324561498533
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1324561498533
started,bundle,org.eclipse.mylyn.jira.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.jira.core",1324561498549
os,sysinfo,,,"win32",1324561498549
arch,sysinfo,,,"x86",1324561498549
ws,sysinfo,,,"win32",1324561498549
locale,sysinfo,,,"en_IN",1324561498549
processors,sysinfo,,,"4",1324561498549
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324561498549
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1324561498549
java.specification.name,sysinfo,,,"Java Platform API Specification",1324561498549
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324561498549
java.specification.version,sysinfo,,,"1.6",1324561498549
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1324561498549
java.version,sysinfo,,,"1.6.0_26",1324561498549
java.vm.info,sysinfo,,,"mixed mode, sharing",1324561498549
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324561498549
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324561498549
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324561498549
java.vm.specification.version,sysinfo,,,"1.0",1324561498549
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1324561498549
java.vm.version,sysinfo,,,"20.1-b02",1324561498549
started,bundle,org.eclipse.mylyn.trac.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.trac.core",1324561498642
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1324561498845
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1324561498986
started,bundle,org.eclipse.mylyn.jira.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.jira.ui",1324561498986
started,bundle,org.eclipse.mylyn.trac.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.trac.ui",1324561498986
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1324561499313
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1324561499360
started,bundle,org.eclipse.bpel.model,0.5.0.v201003031622,"org.eclipse.bpel.model",1324561499391
started,bundle,org.eclipse.bpel.common.model,0.5.0.v201003031622,"org.eclipse.bpel.common.model",1324561499422
started,bundle,org.eclipse.bpel.validator,0.5.0.v201003031622,"org.eclipse.bpel.validator",1324561499610
started,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1324561499719
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1324561499781
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1324561499781
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1324561499906
started,bundle,net.sf.eclipsecs.core,5.1.0.201002232103,"net.sf.eclipsecs.core",1324561500140
started,bundle,net.sf.eclipsecs.ui,5.1.0.201002232103,"net.sf.eclipsecs.ui",1324561500171
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1324561500171
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1324561500171
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1324561500249
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1324561500265
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1324561500343
started,bundle,org.jboss.tools.smooks.core,1.1.0.v201003050540R-H56-GA,"org.jboss.tools.smooks.core",1324561500436
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1324561500577
started,bundle,org.maven.ide.eclipse.mylyn3,0.10.0.20100209-0800,"org.maven.ide.eclipse.mylyn3",1324561500577
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1324561502019
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1324561502035
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1324561502441
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1324561503860
opened,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324561504422
opened,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324561505561
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1324561507058
opened,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1324561507214
opened,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324561507386
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1324561508447
started,bundle,org.hibernate.eclipse.jdt.ui,3.3.0.v201003050540R-H56-GA,"org.hibernate.eclipse.jdt.ui",1324561514967
started,bundle,org.hibernate.eclipse.console,3.3.0.v201003050540R-H56-GA,"org.hibernate.eclipse.console",1324561515545
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1324561515638
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1324561515732
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324561525997
activated,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324561527962
activated,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324561530099
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1324561552766
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324561554217
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1324561554888
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1324561554888
started,bundle,org.jboss.tools.cdi.core,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.cdi.core",1324561555340
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1324561559084
started,bundle,org.jboss.tools.bpel.runtimes,0.4.0.v201003031622,"org.jboss.tools.bpel.runtimes",1324561559209
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1324561559417
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1324561559542
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1324561559542
started,bundle,org.jboss.ide.eclipse.archives.core,3.1.0.v201003050540R-H56-GA,"org.jboss.ide.eclipse.archives.core",1324561559683
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.0.v201003050540R-H56-GA,"org.jboss.ide.eclipse.archives.webtools",1324561559683
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.1.0.v201003050540R-H56-GA,"org.jboss.ide.eclipse.as.wtp.core",1324561559761
started,bundle,org.jboss.tools.esb.project.core,1.3.0.v201003050540R-H56-GA,"org.jboss.tools.esb.project.core",1324561559776
started,bundle,org.guvnor.tools,5.1.0.v201003050540R-H56-31764,"org.guvnor.tools",1324561559823
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1324561560026
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1324561560104
