what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1324396105515
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1324396106146
opened,editor,org.jboss.tools.common.model.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1324396106691
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1324396106828
started,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1324396106837
opened,editor,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.MavenPomEditor",1324396108089
started,bundle,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp",1324396108116
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1324396108533
started,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1324396115241
started,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1324396115608
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1324396115621
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1324396116669
opened,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324396116679
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324396116699
started,bundle,org.maven.ide.eclipse.wtp,0.10.0.20100209-0800,"org.maven.ide.eclipse.wtp",1324396122685
started,bundle,org.jboss.tools.maven.seam,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.maven.seam",1324396122709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324396170075
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324396174704
started,bundle,org.jboss.ide.eclipse.archives.core,3.1.0.v201003050540R-H56-GA,"org.jboss.ide.eclipse.archives.core",1324396175352
started,bundle,org.jboss.ide.eclipse.archives.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.ide.eclipse.archives.ui",1324396175365
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1324396175600
started,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1324396217282
activated,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1324396217406
started,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.ajax4jsf",1324396229133
started,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.facelets",1324396229189
started,bundle,org.jboss.tools.jsf.vpe.jsf,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.jsf",1324396229220
started,bundle,org.jboss.tools.jsf.vpe.richfaces,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.richfaces",1324396229307
started,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.jstl",1324396229332
started,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.myfaces",1324396229349
started,bundle,org.jboss.tools.jsf.vpe.seam,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.seam",1324396230004
started,bundle,org.jboss.tools.vpe.html,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.html",1324396230051
started,bundle,org.jboss.tools.common.resref.core,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.common.resref.core",1324396232891
started,bundle,org.jboss.tools.vpe.resref,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.resref",1324396232892
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324396347442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324398614905
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324398615822
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324403338111
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324403340875
